City,Transect,Population,freqHCN,Lat.pop,Long.pop
Atlanta,NA,1,0.533333333333333,33.580935,-84.690674
Atlanta,NA,10,0.4,33.574918,-84.59891
Atlanta,NA,11,0.266666666666667,33.56886,-84.584804
Atlanta,NA,12,0.2,33.569995,-84.574178
Atlanta,NA,13,0.533333333333333,33.57685,-84.559421
Atlanta,NA,14,0.466666666666667,33.583024,-84.549447
Atlanta,NA,15,0.533333333333333,33.595387,-84.546821
Atlanta,NA,16,0.533333333333333,33.604207,-84.537996
Atlanta,NA,17,0.333333333333333,33.607254,-84.529742
Atlanta,NA,18,0.733333333333333,33.611845,-84.519007
Atlanta,NA,19,0.333333333333333,33.619172,-84.510247
Atlanta,NA,2,0.571428571428571,33.578665,-84.680071
Atlanta,NA,20,0.4,33.620712,-84.503997
Atlanta,NA,21,0.466666666666667,33.622626,-84.488884
Atlanta,NA,22,0.666666666666667,33.624875,-84.477394
Atlanta,NA,23,0.4,33.632218,-84.468452
Atlanta,NA,24,0.533333333333333,33.641732,-84.467683
Atlanta,NA,25,0.533333333333333,33.651934,-84.470666
Atlanta,NA,26,0.571428571428571,33.660549,-84.468862
Atlanta,NA,27,0.733333333333333,33.666759,-84.465386
Atlanta,NA,28,0.466666666666667,33.671274,-84.460025
Atlanta,NA,29,0.4,33.675384,-84.448907
Atlanta,NA,3,0.428571428571429,33.575253,-84.671089
Atlanta,NA,30,0.4,33.680742,-84.440582
Atlanta,NA,31,0.0714285714285714,33.696144,-84.432528
Atlanta,NA,32,0.133333333333333,33.717523,-84.427056
Atlanta,NA,33,0.285714285714286,33.731223,-84.419373
Atlanta,NA,34,0.266666666666667,33.744458,-84.417923
Atlanta,NA,35,0.266666666666667,33.73715,-84.403285
Atlanta,NA,36,0.166666666666667,33.740698,-84.393074
Atlanta,NA,37,0.285714285714286,33.748,-84.390479
Atlanta,NA,38,0.333333333333333,33.754412,-84.385008
Atlanta,NA,39,0,33.760479,-84.381855
Atlanta,NA,4,0.8,33.572524,-84.662849
Atlanta,NA,40,0.0666666666666667,33.766849,-84.385062
Atlanta,NA,41,0.133333333333333,33.768616,-84.382138
Atlanta,NA,42,0.214285714285714,33.770818,-84.376497
Atlanta,NA,43,0.333333333333333,33.76918,-84.363643
Atlanta,NA,44,0.333333333333333,33.770606,-84.357177
Atlanta,NA,45,0.642857142857143,33.772432,-84.350374
Atlanta,NA,5,0.615384615384615,33.572719,-84.651049
Atlanta,NA,6,0.846153846153846,33.571768,-84.63809
Atlanta,NA,7,0.733333333333333,33.575296,-84.630425
Atlanta,NA,8,0.533333333333333,33.573607,-84.619066
Atlanta,NA,9,0.466666666666667,33.574739,-84.609136
Atlanta,"NA",City Centre,"NA",33.748997,-84.387985
Baltimore,NA,1,0.2,39.279466,-76.622552
Baltimore,NA,10,0.0666666666666667,39.322485,-76.64946
Baltimore,NA,11,0.2,39.330882,-76.654304
Baltimore,NA,12,0.2,39.33857,-76.656842
Baltimore,NA,13,0.4,39.490976,-77.156539
Baltimore,NA,14,0.266666666666667,39.499079,-77.143471
Baltimore,NA,15,0.4,39.506927,-77.101084
Baltimore,NA,16,0.0666666666666667,39.515313,-77.068531
Baltimore,NA,17,0.0666666666666667,39.516752,-77.038731
Baltimore,NA,18,0.2,39.503057,-77.025813
Baltimore,NA,2,0.266666666666667,39.286326,-76.618277
Baltimore,NA,20,0.466666666666667,39.494701,-77.003874
Baltimore,NA,21,0.2,39.48531,-76.989376
Baltimore,NA,22,0.266666666666667,39.488458,-76.970971
