City,Population,Plant,HCN_Result,ac1.3,ac2.2,ac5.3,li4.0,li7.0,li9.3,haplotype_Ac,haplotype_Li,haplotype_all,Distance,Habitat
Washington D.C.,37,14,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,0.851524468381754,Urban
Washington D.C.,37,15,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,0.851524468381754,Urban
Washington D.C.,38,1,0,0,0,1,0,NA,1,ac5.3,unk,ac5.3-unk,0.706580272943695,Urban
Washington D.C.,38,2,0,0,1,1,0,NA,1,ac2.2,unk,ac2.2-unk,0.706580272943695,Urban
Washington D.C.,38,3,0,0,1,1,0,NA,1,ac2.2,unk,ac2.2-unk,0.706580272943695,Urban
Washington D.C.,38,5,0,0,0,1,0,NA,1,ac5.3,unk,ac5.3-unk,0.706580272943695,Urban
Washington D.C.,38,7,0,0,1,1,0,NA,1,ac2.2,unk,ac2.2-unk,0.706580272943695,Urban
Washington D.C.,38,8,0,0,0,0,0,NA,1,unk,unk,unk-unk,0.706580272943695,Urban
Washington D.C.,38,11,0,0,1,1,0,NA,1,ac2.2,unk,ac2.2-unk,0.706580272943695,Urban
Washington D.C.,39,2,0,0,1,1,0,NA,1,ac2.2,unk,ac2.2-unk,1.35720378454191,Urban
Washington D.C.,39,5,0,0,0,0,0,NA,1,unk,unk,unk-unk,1.35720378454191,Urban
Washington D.C.,39,9,0,0,1,1,0,NA,1,ac2.2,unk,ac2.2-unk,1.35720378454191,Urban
Washington D.C.,39,11,0,0,1,1,0,NA,1,ac2.2,unk,ac2.2-unk,1.35720378454191,Urban
Washington D.C.,40,2,0,0,0,1,0,NA,1,ac5.3,unk,ac5.3-unk,1.34294786856109,Urban
Washington D.C.,40,5,0,0,1,1,0,NA,1,ac2.2,unk,ac2.2-unk,1.34294786856109,Urban
Washington D.C.,40,7,0,0,1,1,0,NA,1,ac2.2,unk,ac2.2-unk,1.34294786856109,Urban
Baltimore,13,3,0,0,1,1,0,NA,0,ac2.2,unk,ac2.2-unk,51.8242102922632,Rural
Baltimore,13,6,0,0,0,0,0,NA,0,unk,unk,unk-unk,51.8242102922632,Rural
Baltimore,14,11,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,51.2123767098646,Rural
Baltimore,14,12,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,51.2123767098646,Rural
Baltimore,14,14,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,51.2123767098646,Rural
