STATION,STATION_NAME,City,ELEVATION,LATITUDE,LONGITUDE,Date,Year,Month,Day,PRCP,SNWD,SNWDcm,SNOW,SNOWcm,TMAX,TMIN
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-31,1982,1,31,22.4,51,5.1,254,25.4,-1.1,-9.4
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-01,1982,2,1,0,305,30.5,0,0,-4.4,-13.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-02,1982,2,2,0,305,30.5,0,0,-2.2,-13.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-03,1982,2,3,12.2,279,27.9,152,15.2,-2.2,-7.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-04,1982,2,4,0,432,43.2,0,0,-6.1,-19.4
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-05,1982,2,5,4.8,457,45.7,56,5.6,-7.2,-18.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-06,1982,2,6,0,457,45.7,0,0,-10.6,-21.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-07,1982,2,7,0,457,45.7,0,0,-7.2,-20.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-08,1982,2,8,0,406,40.6,0,0,-4.4,-16.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-09,1982,2,9,3,381,38.1,66,6.6,-6.1,-17.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-10,1982,2,10,0,406,40.6,0,0,-13.9,-22.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-11,1982,2,11,0,406,40.6,0,0,-7.8,-21.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-12,1982,2,12,0,381,38.1,0,0,-4.4,-18.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-13,1982,2,13,0,381,38.1,0,0,-2.8,-15.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-02-14,1982,2,14,0,356,35.6,0,0,3.9,-4.4
