STATION,STATION_NAME,City,ELEVATION,LATITUDE,LONGITUDE,Date,Year,Month,Day,PRCP,SNWD,SNWDcm,SNOW,SNOWcm,TMAX,TMIN
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-08,1980,2,8,0,0,0,0,0,-0.6,-11.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-09,1980,2,9,1.8,0,0,18,1.8,-2.8,-6.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-10,1980,2,10,0.3,25,2.5,3,0.3,-1.7,-7.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-11,1980,2,11,0.5,0,0,5,0.5,-3.3,-11.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-12,1980,2,12,0,0,0,0,0,0,-12.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-13,1980,2,13,0,0,0,0,0,0,-12.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-14,1980,2,14,0.3,0,0,3,0.3,1.1,-3.9
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-15,1980,2,15,6.9,0,0,81,8.1,-2.2,-5
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-16,1980,2,16,0,76,7.6,0,0,-4.4,-13.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-17,1980,2,17,0,76,7.6,0,0,-6.1,-17.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1980-02-18,1980,2,18,0,76,7.6,0,0,-2.8,-15
