"City","Transect","Population","Distance","std_distance","n_HCN","sumHCN","freqHCN","n_Ac","sum_Ac","freqAc_marker","sum_acac","freq_acac","acHWE","AcHWE","n_Li","sum_Li","freqLi_marker","sum_lili","freq_lili","liHWE","LiHWE","Distance_squared","std_distance_squared"
"Atlanta",NA,"1",33.6741488057152,1,15,8,0.533333333333333,15,12,0.8,3,0.2,0.447213595499958,0.552786404500042,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,1133.94829778945,1
"Atlanta",NA,"10",27.4909975141153,0.814977061568127,15,6,0.4,14,8,0.571428571428571,6,0.428571428571429,0.654653670707977,0.345346329292023,14,10,0.714285714285714,4,0.285714285714286,0.534522483824849,0.465477516175151,755.754944321094,0.664187610882219
"Atlanta",NA,"11",27.0747953700749,0.802522741749587,15,4,0.266666666666667,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,15,7,0.466666666666667,8,0.533333333333333,0.730296743340221,0.269703256659779,733.044544331429,0.644042751025275
"Atlanta",NA,"12",26.327507688145,0.780161108297006,15,3,0.2,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,15,6,0.4,9,0.6,0.774596669241483,0.225403330758517,693.137661069334,0.608651354899213
"Atlanta",NA,"13",24.8625817770055,0.736325063555185,15,8,0.533333333333333,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,618.147972618286,0.542174599219548
"Atlanta",NA,"14",23.7461840982964,0.702918282897254,15,7,0.466666666666667,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,15,10,0.666666666666667,5,0.333333333333333,0.577350269189626,0.422649730810374,563.881259230185,0.494094112431224
"Atlanta",NA,"15",22.5343077356418,0.666654424055711,15,8,0.533333333333333,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,507.795025124606,0.444428121113052
"Atlanta",NA,"16",21.2577862314402,0.628456141571547,15,8,0.533333333333333,15,10,0.666666666666667,5,0.333333333333333,0.577350269189626,0.422649730810374,15,12,0.8,3,0.2,0.447213595499958,0.552786404500042,451.893475461609,0.394957121878997
"Atlanta",NA,"17",20.5054059865205,0.605942119648413,15,5,0.333333333333333,15,8,0.533333333333333,7,0.466666666666667,0.683130051063973,0.316869948936027,15,8,0.533333333333333,7,0.466666666666667,0.683130051063973,0.316869948936027,420.471674672031,0.367165852364012
"Atlanta",NA,"18",19.4822927027589,0.575326755866611,15,11,0.733333333333333,15,15,1,0,0,0,1,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,379.559728955973,0.331000876015999
"Atlanta",NA,"19",18.3402786175272,0.54115343682342,15,5,0.333333333333333,15,7,0.466666666666667,8,0.533333333333333,0.730296743340221,0.269703256659779,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,336.365819768525,0.2928470421858
"Atlanta",NA,"2",33.0068430032957,0.980031722567741,14,8,0.571428571428571,14,11,0.785714285714286,3,0.214285714285714,0.462910049886276,0.537089950113724,14,11,0.785714285714286,3,0.214285714285714,0.462910049886276,0.537089950113724,1089.45168504421,0.960462177239094
"Atlanta",NA,"20",17.8521649690553,0.526547256694581,15,6,0.4,14,11,0.785714285714286,3,0.214285714285714,0.462910049886276,0.537089950113724,14,8,0.571428571428571,6,0.428571428571429,0.654653670707977,0.345346329292023,318.699794082365,0.277252013532589
"Atlanta",NA,"21",16.8703020395025,0.497166257298692,15,7,0.466666666666667,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,15,7,0.466666666666667,8,0.533333333333333,0.730296743340221,0.269703256659779,284.607090904042,0.247174287396389
"Atlanta",NA,"22",16.0910067351565,0.473846836453832,15,10,0.666666666666667,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,258.920497750852,0.224530824417305
"Atlanta",NA,"23",14.9679788182159,0.440241654349415,15,6,0.4,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,15,12,0.8,3,0.2,0.447213595499958,0.552786404500042,224.04038990256,0.19381271422431
"Atlanta",NA,"24",14.0222997025358,0.411943409563703,15,8,0.533333333333333,15,13,0.866666666666667,2,0.133333333333333,0.365148371670111,0.634851628329889,15,13,0.866666666666667,2,0.133333333333333,0.365148371670111,0.634851628329889,196.624888947736,0.169697372682969
"Atlanta",NA,"25",13.228362519896,0.388185849133004,15,8,0.533333333333333,15,13,0.866666666666667,2,0.133333333333333,0.365148371670111,0.634851628329889,15,10,0.666666666666667,5,0.333333333333333,0.577350269189626,0.422649730810374,174.989574957789,0.150688253467111
"Atlanta",NA,"26",12.3571251870779,0.362115180021519,14,8,0.571428571428571,14,11,0.785714285714286,3,0.214285714285714,0.462910049886276,0.537089950113724,14,13,0.928571428571429,1,0.0714285714285714,0.267261241912424,0.732738758087576,152.698542889115,0.131127403602017
"Atlanta",NA,"27",11.6138424287526,0.339873388814189,15,11,0.733333333333333,15,12,0.8,3,0.2,0.447213595499958,0.552786404500042,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,134.881335959894,0.115513920424041
"Atlanta",NA,"28",10.9130312058822,0.318902504288418,15,7,0.466666666666667,15,12,0.8,3,0.2,0.447213595499958,0.552786404500042,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,119.094250100559,0.101698807241424
"Atlanta",NA,"29",9.93751924364834,0.289711549512144,15,6,0.4,15,13,0.866666666666667,2,0.133333333333333,0.365148371670111,0.634851628329889,15,6,0.4,9,0.6,0.774596669241483,0.225403330758517,98.7542887178811,0.0839327819207276
"Atlanta",NA,"3",32.553709595884,0.966472281663415,14,6,0.428571428571429,14,13,0.928571428571429,1,0.0714285714285714,0.267261241912424,0.732738758087576,14,6,0.428571428571429,8,0.571428571428571,0.755928946018454,0.244071053981546,1059.74400845315,0.934068671223687
"Atlanta",NA,"30",9.01493252615363,0.262104315372331,15,6,0.4,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,15,8,0.533333333333333,7,0.466666666666667,0.683130051063973,0.316869948936027,81.2690084511027,0.0686986721367983
"Atlanta",NA,"31",7.17702156960109,0.207107167523229,14,1,0.0714285714285714,14,4,0.285714285714286,10,0.714285714285714,0.845154254728517,0.154845745271483,14,9,0.642857142857143,5,0.357142857142857,0.597614304667197,0.402385695332803,51.5096386105193,0.0428933788394947
"Atlanta",NA,"32",5.03012652526262,0.142864063824961,15,2,0.133333333333333,15,4,0.266666666666667,11,0.733333333333333,0.856348838577675,0.143651161422325,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,25.3021728601506,0.0204101407325825
"Atlanta",NA,"33",3.51134237387183,0.0974163797425987,14,4,0.285714285714286,13,8,0.615384615384615,5,0.384615384615385,0.620173672946042,0.379826327053958,13,4,0.307692307692308,9,0.692307692307692,0.832050294337844,0.167949705662156,12.3295252665479,0.0094899510421542
"Atlanta",NA,"34",2.8136672065476,0.0765393376904906,15,4,0.266666666666667,15,6,0.4,9,0.6,0.774596669241483,0.225403330758517,15,7,0.466666666666667,8,0.533333333333333,0.730296743340221,0.269703256659779,7.91672314920137,0.00585827021409895
"Atlanta",NA,"35",1.93304547376783,0.0501878523455927,15,4,0.266666666666667,15,5,0.333333333333333,10,0.666666666666667,0.816496580927726,0.183503419072274,15,12,0.8,3,0.2,0.447213595499958,0.552786404500042,3.73666480365429,0.00251882052306302
"Atlanta",NA,"36",1.03584424955349,0.0233402468059493,12,2,0.166666666666667,12,8,0.666666666666667,4,0.333333333333333,0.577350269189626,0.422649730810374,12,5,0.416666666666667,7,0.583333333333333,0.763762615825973,0.236237384174027,1.07297330933303,0.000544767120962626
"Atlanta",NA,"37",0.255852977078893,0,14,4,0.285714285714286,14,6,0.428571428571429,8,0.571428571428571,0.755928946018454,0.244071053981546,14,8,0.571428571428571,6,0.428571428571429,0.654653670707977,0.345346329292023,0.0654607458801325,0
"Atlanta",NA,"38",0.662044334722466,0.012154759767717,15,5,0.333333333333333,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,15,8,0.533333333333333,7,0.466666666666667,0.683130051063973,0.316869948936027,0.438302701138113,0.000147738185010912
"Atlanta",NA,"39",1.39686646157069,0.034143377338651,9,0,0,9,7,0.777777777777778,2,0.222222222222222,0.471404520791032,0.528595479208968,9,0,0,9,1,1,0,1.95123591146102,0.00116577021608951
"Atlanta",NA,"4",32.1278790066773,0.9537298428691,15,12,0.8,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,15,12,0.8,3,0.2,0.447213595499958,0.552786404500042,1032.2006094677,0.909600613179118
"Atlanta",NA,"40",2.0033597961647,0.0522919190148637,15,1,0.0666666666666667,15,5,0.333333333333333,10,0.666666666666667,0.816496580927726,0.183503419072274,15,4,0.266666666666667,11,0.733333333333333,0.856348838577675,0.143651161422325,4.01345047288907,0.00273444479425706
"Atlanta",NA,"41",2.2475008592011,0.0595975298182487,15,2,0.133333333333333,15,4,0.266666666666667,11,0.733333333333333,0.856348838577675,0.143651161422325,15,7,0.466666666666667,8,0.533333333333333,0.730296743340221,0.269703256659779,5.05126011210968,0.00355186556043704
"Atlanta",NA,"42",2.64862063585785,0.0716005289751664,14,3,0.214285714285714,14,6,0.428571428571429,8,0.571428571428571,0.755928946018454,0.244071053981546,14,6,0.428571428571429,8,0.571428571428571,0.755928946018454,0.244071053981546,7.01519127269204,0.00512663574952365
"Atlanta",NA,"43",3.1781318986131,0.0874454800603594,15,5,0.333333333333333,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,15,10,0.666666666666667,5,0.333333333333333,0.577350269189626,0.422649730810374,10.1005223649821,0.00764671198298671
"Atlanta",NA,"44",3.72623138991295,0.103846660243527,15,5,0.333333333333333,15,11,0.733333333333333,4,0.266666666666667,0.516397779494322,0.483602220505678,15,8,0.533333333333333,7,0.466666666666667,0.683130051063973,0.316869948936027,13.8848003711726,0.0107841288437345
"Atlanta",NA,"45",4.34503049790671,0.122363436537772,14,9,0.642857142857143,14,12,0.857142857142857,2,0.142857142857143,0.377964473009227,0.622035526990773,14,10,0.714285714285714,4,0.285714285714286,0.534522483824849,0.465477516175151,18.8792900277394,0.0149728106013333
"Atlanta",NA,"5",31.2566382755227,0.927659072066717,13,8,0.615384615384615,13,12,0.923076923076923,1,0.0769230769230769,0.277350098112615,0.722649901887385,13,10,0.769230769230769,3,0.230769230769231,0.480384461415261,0.519615538584739,976.977436286871,0.860551353987683
"Atlanta",NA,"6",30.4002761547768,0.902033524757627,13,11,0.846153846153846,13,12,0.923076923076923,1,0.0769230769230769,0.277350098112615,0.722649901887385,13,12,0.923076923076923,1,0.0769230769230769,0.277350098112615,0.722649901887385,924.176790286691,0.813664479786668
"Atlanta",NA,"7",29.6058984135071,0.878262781170248,15,11,0.733333333333333,15,14,0.933333333333333,1,0.0666666666666667,0.258198889747161,0.741801110252839,15,12,0.8,3,0.2,0.447213595499958,0.552786404500042,876.509220870902,0.771345512788898
"Atlanta",NA,"8",28.9436899006237,0.858447033644428,15,8,0.533333333333333,15,10,0.666666666666667,5,0.333333333333333,0.577350269189626,0.422649730810374,15,10,0.666666666666667,5,0.333333333333333,0.577350269189626,0.422649730810374,837.737185063466,0.736931309572918
"Atlanta",NA,"9",28.1846159223829,0.835732710265007,15,7,0.466666666666667,15,8,0.533333333333333,7,0.466666666666667,0.683130051063973,0.316869948936027,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,794.37257469224,0.698449163006895
"Baltimore",NA,"1",1.50656179007677,0.0206655940748672,15,3,0.2,14,7,0.5,7,0.5,0.707106781186548,0.292893218813452,14,5,0.357142857142857,9,0.642857142857143,0.801783725737273,0.198216274262727,2.26972842731932,0.000427066778467186
"Baltimore",NA,"10",4.79815769312138,0.0847300568272099,15,1,0.0666666666666667,15,9,0.6,6,0.4,0.632455532033676,0.367544467966324,15,2,0.133333333333333,13,0.866666666666667,0.930949336251263,0.0690506637487373,23.0223172480599,0.00717918252994221
