City,Population,Transect,Lat.pop,Long.pop
Atlanta,7,NA,33.575296,-84.630425
Atlanta,8,NA,33.573607,-84.619066
Atlanta,9,NA,33.574739,-84.609136
Atlanta,10,NA,33.574918,-84.59891
Atlanta,11,NA,33.56886,-84.584804
Atlanta,12,NA,33.569995,-84.574178
Atlanta,13,NA,33.57685,-84.559421
Atlanta,14,NA,33.583024,-84.549447
Atlanta,15,NA,33.595387,-84.546821
Atlanta,16,NA,33.604207,-84.537996
Atlanta,17,NA,33.607254,-84.529742
Atlanta,18,NA,33.611845,-84.519007
Atlanta,19,NA,33.619172,-84.510247
Atlanta,20,NA,33.620712,-84.503997
Atlanta,21,NA,33.622626,-84.488884
Atlanta,22,NA,33.624875,-84.477394
Atlanta,23,NA,33.632218,-84.468452
Atlanta,24,NA,33.641732,-84.467683
Atlanta,25,NA,33.651934,-84.470666
Atlanta,26,NA,33.660549,-84.468862
Atlanta,27,NA,33.666759,-84.465386
Atlanta,28,NA,33.671274,-84.460025
Atlanta,29,NA,33.675384,-84.448907
Atlanta,30,NA,33.680742,-84.440582
Atlanta,31,NA,33.696144,-84.432528
Atlanta,32,NA,33.717523,-84.427056
Atlanta,33,NA,33.731223,-84.419373
Atlanta,34,NA,33.744458,-84.417923
Atlanta,35,NA,33.73715,-84.403285
Atlanta,36,NA,33.740698,-84.393074
Atlanta,37,NA,33.748,-84.390479
Atlanta,38,NA,33.754412,-84.385008
Atlanta,39,NA,33.760479,-84.381855
Atlanta,40,NA,33.766849,-84.385062
Atlanta,41,NA,33.768616,-84.382138
Atlanta,42,NA,33.770818,-84.376497
Atlanta,43,NA,33.76918,-84.363643
Atlanta,44,NA,33.770606,-84.357177
Atlanta,45,NA,33.772432,-84.350374
Charlotte,1,NA,35.211203,-80.866152
Charlotte,2,NA,35.215639,-80.857093
Charlotte,3,NA,35.220334,-80.851473
Charlotte,4,NA,35.225256,-80.837693
Charlotte,5,NA,35.230693,-80.842918
Charlotte,6,NA,35.234377,-80.845951
Charlotte,7,NA,35.227886,-80.850384
Charlotte,8,NA,35.22936,-80.842314
Charlotte,9,NA,35.240148,-80.85594
Charlotte,10,NA,35.244373,-80.86339
Charlotte,11,NA,35.250674,-80.870015
Charlotte,12,NA,35.258284,-80.877585
Charlotte,13,NA,35.265117,-80.883306
Charlotte,14,NA,35.27386,-80.890796
Charlotte,15,NA,35.280286,-80.902495
Charlotte,16,NA,35.281324,-80.913457
Charlotte,17,NA,35.286743,-80.922737
Charlotte,18,NA,35.293628,-80.930695
Charlotte,19,NA,35.302275,-80.936494
Charlotte,20,NA,35.316911,-80.943556
Charlotte,21,NA,35.320359,-80.952382
Charlotte,22,NA,35.331405,-80.958572
Charlotte,23,NA,35.344876,-80.967434
Charlotte,24,NA,35.357992,-80.989697
Charlotte,25,NA,35.364889,-80.997856
Charlotte,26,NA,35.376333,-81.003552
Charlotte,27,NA,35.387481,-81.009826
Charlotte,28,NA,35.399819,-81.008975
Charlotte,29,NA,35.416454,-81.010611
Charlotte,30,NA,35.429989,-81.011185
Charlotte,31,NA,35.443642,-80.99771
Charlotte,32,NA,35.462018,-80.992411
Charlotte,33,NA,35.475416,-81.001209
Charlotte,34,NA,35.488837,-81.018644
Charlotte,35,NA,35.496607,-81.019761
Charlotte,36,NA,35.498083,-81.043425
Charlotte,37,NA,35.503154,-81.05091
Charlotte,38,NA,35.515316,-81.059033
Charlotte,39,NA,35.525837,-81.058782
Charlotte,40,NA,35.538963,-81.065687
Norfolk,1,NA,36.525734,-76.249271
Norfolk,2,NA,36.533611,-76.250144
Norfolk,3,NA,36.547404,-76.242498
Norfolk,4,NA,36.551477,-76.231768
Norfolk,5,NA,36.559063,-76.227748
Norfolk,6,NA,36.559572,-76.215362
Norfolk,7,NA,36.561527,-76.201243
Norfolk,8,NA,36.575297,-76.200138
Norfolk,9,NA,36.587979,-76.205732
Norfolk,10,NA,36.598354,-76.209854
Norfolk,11,NA,36.605777,-76.210656
Norfolk,12,NA,36.61921,-76.211041
Norfolk,13,NA,36.631025,-76.208698
Norfolk,14,NA,36.644722,-76.216359
Norfolk,15,NA,36.654205,-76.223186
Norfolk,16,NA,36.666569,-76.226393
Norfolk,17,NA,36.675113,-76.226349
Norfolk,18,NA,36.686555,-76.229694
Norfolk,19,NA,36.697414,-76.232788
Norfolk,20,NA,36.706203,-76.235476
Norfolk,21,NA,36.715957,-76.238299
Norfolk,22,NA,36.725735,-76.242221
Norfolk,23,NA,36.739235,-76.241467
Norfolk,24,NA,36.750321,-76.245681
Norfolk,25,NA,36.758379,-76.24845
Norfolk,26,NA,36.768737,-76.251939
Norfolk,27,NA,36.785235,-76.258458
Norfolk,28,NA,36.793588,-76.260703
Norfolk,29,NA,36.804583,-76.262898
Norfolk,30,NA,36.813869,-76.263466
Norfolk,31,NA,36.828899,-76.260809
Norfolk,32,NA,36.83578,-76.263065
Norfolk,33,NA,36.847041,-76.271875
Norfolk,34,NA,36.853598,-76.278857
Norfolk,35,NA,36.852334,-76.285657
Norfolk,36,NA,36.846924,-76.285781
Norfolk,37,NA,36.846861,-76.294678
Norfolk,38,NA,36.843603,-76.288229
Norfolk,39,NA,36.849063,-76.290702
Norfolk,40,NA,36.860801,-76.285964
Washington D.C.,1,NA,39.250695,-77.380207
Washington D.C.,2,NA,39.250062,-77.36861
