OVERALL_ID,City,Pop,Transect,Pop_ID,Latitude,Longitude,DistToCore,PopDens,NumPlants,NumCyanogenic,PropCyanogenic,NumAcyanogenic,PropAcyanogenic,NumAcyScreened_Linamarin,NumAcy_Linamarin,PropAcy_Linamarin,TotalScreened_Linamarin,TotalProp_Linamarin,NumAcyScreened_Linamarase,NumAcy_Linamarase,PropAcy_Linamarase,TotalScreened_Linamarase,TotalProp_Linamarase
257,B,31,,B-31,42.26543666,-71.09406738,10.18659309,4625.45898,20,4,0.2,16,0.8,,,,,,,,,,
258,B,32,,B-32,42.27421249,-71.09511461,9.259151879,3998.42139,20,3,0.15,17,0.85,,,,,,,,,,
259,B,33,,B-33,42.28289146,-71.09071116,8.234443703,6618.28223,20,8,0.4,12,0.6,,,,,,,,,,
260,B,34,,B-34,42.29105089,-71.08691289,7.279064472,8566.56738,20,4,0.2,16,0.8,,,,,,,,,,
261,B,35,,B-35,42.30078072,-71.08603758,6.212181745,4132.04102,20,0,0,20,1,,,,,,,,,,
262,B,36,,B-36,42.31164802,-71.07984231,4.916578484,8672.30664,20,2,0.1,18,0.9,,,,,,,,,,
263,B,37,,B-37,42.31940313,-71.07189158,3.95562056,7883.04932,20,2,0.1,18,0.9,,,,,,,,,,
264,B,38,,B-38,42.32643556,-71.06998164,3.16179064,1493.54895,20,2,0.1,18,0.9,,,,,,,,,,
265,B,39,,B-39,42.33410354,-71.08142851,2.602212668,17483.39453,20,0,0,20,1,,,,,,,,,,
266,B,40,,B-40,42.33896004,-71.07279536,1.830185143,9161.78711,20,2,0.1,18,0.9,,,,,,,,,,
267,B,41,,B-41,42.34363291,-71.06662158,1.236850433,6855.2832,20,2,0.1,18,0.9,,,,,,,,,,
268,B,42,,B-42,42.35371708,-71.06504482,0.168464639,11469.30957,20,3,0.15,17,0.85,,,,,,,,,,
269,B,43,,B-43,42.36178484,-71.05943928,0.975179559,10682.40332,20,8,0.4,12,0.6,,,,,,,,,,
