term,estimate,std.error,statistic,p.value
(Intercept),0.19174834712140557,0.03755588111330547,5.105680959605341,9.539349608949353e-6
std_distance,0.06895700068199195,0.06960969841967872,0.9906234655155143,0.32813572075155917
