term,estimate,std.error,statistic,p.value
(Intercept),0.11712594845760502,0.03316376312025318,3.531744815354683,9.514412117651918e-4
std_distance,0.14540331534114354,0.05545620785106669,2.621948398124138,0.011814353921080226
