term,estimate,std.error,statistic,p.value
(Intercept),0.31841830849396197,0.05153926494402472,6.1781693790120356,3.2434286919711016e-7
std_distance,0.35802302069927505,0.09087072226885144,3.9399160891450045,3.373571609319652e-4
