City,Population,Transect,Lat.pop,Long.pop,AridityInd
Tampa,1,NA,28.324528999999998,-82.357619000000000,9071.00000
Tampa,2,NA,28.193446000000002,-82.637518000000000,8887.00000
Tampa,3,NA,28.084311000000000,-82.503479999999996,8545.00000
Tampa,4,NA,27.970340000000000,-82.460203000000007,8084.00000
Tampa,5,NA,27.945929000000000,-82.463866999999993,8071.00000
Tampa,6,NA,27.981413000000000,-82.386319999999998,8194.00000
Tampa,7,NA,27.990293000000001,-82.239326000000005,8376.00000
Tampa,8,NA,27.993017999999999,-82.224684999999994,8442.00000
Tampa,9,NA,27.996721999999998,-82.210448999999997,8433.00000
Tampa,10,NA,28.006086000000000,-82.174233999999998,8417.00000
Tampa,11,NA,28.009763000000000,-82.163741999999999,8402.00000
Tampa,12,NA,28.018260999999999,-82.105072000000007,8365.00000
Tampa,13,NA,28.020768000000000,-82.092934000000000,8339.00000
Tampa,14,NA,28.035471999999999,-82.017525000000006,8206.00000
Tampa,15,NA,28.039306000000000,-82.002795000000006,8189.00000
Jacksonville,1,NA,30.332625000000000,-81.652426000000006,8910.00000
Jacksonville,2,NA,30.332602000000001,-81.652372000000000,8910.00000
Jacksonville,3,NA,30.338130000000000,-81.657719000000000,8918.00000
Jacksonville,4,NA,30.341833000000001,-81.660644000000005,8952.00000
Jacksonville,5,NA,30.343827999999998,-81.661720000000003,8952.00000
Jacksonville,6,NA,30.348720000000000,-81.662051000000005,8952.00000
Jacksonville,7,NA,30.365468000000000,-81.643350999999996,8948.00000
Jacksonville,8,NA,30.372029000000001,-81.640096999999997,8934.00000
Jacksonville,9,NA,30.387416000000002,-81.650536000000002,8973.00000
Jacksonville,10,NA,30.389887999999999,-81.656746999999996,8973.00000
Jacksonville,11,NA,30.399336000000002,-81.647373000000002,8964.00000
Jacksonville,12,NA,30.410342000000000,-81.650317000000001,8966.00000
Jacksonville,13,NA,30.441438000000002,-81.639932000000002,8971.00000
Jacksonville,14,NA,30.442688000000000,-81.607167000000004,9044.00000
Jacksonville,15,NA,30.457001999999999,-81.605688999999998,9050.00000
Jacksonville,16,NA,30.459416999999998,-81.619352000000006,9028.00000
Jacksonville,17,NA,30.466100000000001,-81.621807000000004,9028.00000
Jacksonville,18,NA,30.478216000000000,-81.610134000000002,9047.00000
Jacksonville,19,NA,30.484003999999999,-81.596670000000003,9096.00000
Jacksonville,20,NA,30.499397999999999,-81.587485000000001,9129.00000
Jacksonville,21,NA,30.518747000000001,-81.589613000000000,9144.00000
Jacksonville,22,NA,30.629104000000002,-81.570130000000006,9315.00000
Jacksonville,23,NA,30.626030000000000,-81.548181000000000,9369.00000
Jacksonville,24,NA,30.591774000000001,-81.525783000000004,9337.00000
Jacksonville,25,NA,30.596473000000000,-81.516146000000006,9356.00000
Jacksonville,26,NA,30.606432000000002,-81.516968000000006,9386.00000
Jacksonville,27,NA,30.617977000000000,-81.515085999999997,9371.00000
Jacksonville,28,NA,30.643744999999999,-81.529801000000006,9409.00000
Jacksonville,29,NA,30.640010000000000,-81.545267999999993,9375.00000
Jacksonville,30,NA,30.641822000000001,-81.612741000000000,9239.00000
Jacksonville,31,NA,30.650935000000000,-81.623743000000005,9219.00000
Jacksonville,32,NA,30.658639000000001,-81.631185000000002,9206.00000
Jacksonville,33,NA,30.668565000000001,-81.638954999999996,9228.00000
Jacksonville,34,NA,30.684526000000002,-81.651167999999998,9195.00000
Jacksonville,35,NA,30.696097999999999,-81.659974000000005,9196.00000
Atlanta,1,NA,33.580934999999997,-84.690674000000001,10007.00000
Atlanta,2,NA,33.578665000000001,-84.680070999999998,10022.00000
Atlanta,3,NA,33.575252999999996,-84.671088999999995,10000.00000
Atlanta,4,NA,33.572524000000001,-84.662848999999994,10022.00000
Atlanta,5,NA,33.572718999999999,-84.651049000000000,10022.00000
Atlanta,6,NA,33.571767999999999,-84.638090000000005,10053.00000
Atlanta,7,NA,33.575296000000002,-84.630425000000002,10076.00000
Atlanta,8,NA,33.573607000000003,-84.619066000000004,10076.00000
Atlanta,9,NA,33.574739000000001,-84.609136000000007,10076.00000
Atlanta,10,NA,33.574917999999997,-84.598910000000004,10061.00000
Atlanta,11,NA,33.568860000000001,-84.584804000000005,10038.00000
Atlanta,12,NA,33.569994999999999,-84.574178000000003,10045.00000
Atlanta,13,NA,33.576850000000000,-84.559421000000000,10038.00000
Atlanta,14,NA,33.583024000000002,-84.549447000000001,10000.00000
Atlanta,15,NA,33.595387000000002,-84.546820999999994,10061.00000
Atlanta,16,NA,33.604207000000002,-84.537996000000007,10061.00000
Atlanta,17,NA,33.607253999999998,-84.529741999999999,10038.00000
Atlanta,18,NA,33.611845000000002,-84.519007000000002,10030.00000
Atlanta,19,NA,33.619171999999999,-84.510247000000007,10046.00000
Atlanta,20,NA,33.620711999999997,-84.503996999999998,10085.00000
Atlanta,21,NA,33.622625999999997,-84.488883999999999,10038.00000
Atlanta,22,NA,33.624875000000003,-84.477394000000004,10038.00000
Atlanta,23,NA,33.632218000000002,-84.468451999999999,10038.00000
Atlanta,24,NA,33.641731999999998,-84.467682999999994,9969.00000
Atlanta,25,NA,33.651933999999997,-84.470665999999994,9892.00000
Atlanta,26,NA,33.660549000000003,-84.468862000000001,9969.00000
Atlanta,27,NA,33.666758999999999,-84.465385999999995,10023.00000
Atlanta,28,NA,33.671273999999997,-84.460025000000002,10023.00000
Atlanta,29,NA,33.675384000000001,-84.448907000000005,10101.00000
Atlanta,30,NA,33.680742000000002,-84.440582000000006,10070.00000
Atlanta,31,NA,33.696143999999997,-84.432528000000005,10085.00000
Atlanta,32,NA,33.717523000000000,-84.427055999999993,10132.00000
Atlanta,33,NA,33.731223000000000,-84.419372999999993,10140.00000
Atlanta,34,NA,33.744458000000002,-84.417923000000002,10147.00000
Atlanta,35,NA,33.737150000000000,-84.403284999999997,10132.00000
Atlanta,36,NA,33.740698000000002,-84.393073999999999,10116.00000
Atlanta,37,NA,33.747999999999998,-84.390478999999999,10147.00000
Atlanta,38,NA,33.754412000000002,-84.385007999999999,10265.00000
Atlanta,39,NA,33.760478999999997,-84.381855000000002,10171.00000
Atlanta,40,NA,33.766849000000001,-84.385062000000005,10202.00000
Atlanta,41,NA,33.768616000000002,-84.382137999999998,10147.00000
Atlanta,42,NA,33.770817999999998,-84.376497000000001,10147.00000
Atlanta,43,NA,33.769179999999999,-84.363642999999996,10124.00000
Atlanta,44,NA,33.770606000000001,-84.357176999999993,10218.00000
Atlanta,45,NA,33.772432000000002,-84.350374000000002,10218.00000
Charlotte,1,NA,35.211202999999998,-80.866152000000000,8983.00000
Charlotte,2,NA,35.215639000000003,-80.857093000000006,9012.00000
Charlotte,3,NA,35.220334000000001,-80.851472999999999,8981.00000
Charlotte,4,NA,35.225256000000002,-80.837693000000002,8967.00000
Charlotte,5,NA,35.230693000000002,-80.842917999999997,9013.00000
Charlotte,6,NA,35.234377000000002,-80.845950999999999,8945.00000
