(Intercept),annualAI,daysNegNoSnow,PC1_HCN,smd,R^2,adjR^2,F,df,logLik,AICc,delta,weight
0.9830205917701307,-0.29208393093616125,-0.014697850525908385,-0.06140330107563024,NA,0.9571180863847741,-10.668885589005372,89.27941928831599,5,25.881742439537806,-35.76348487907561,0,0.526745239912618
0.6941656372084601,NA,-0.0148856033628742,-0.06837795125606558,NA,0.9413154100473311,-10.492734967423152,104.261615702563,4,23.371926221293673,-35.107488806223714,0.6559960728518988,0.379448536713415
0.6778452278712757,NA,-0.01560588047410049,-0.07096635512385917,-8.078508976303539e-4,0.9425815247095587,-10.50684820242103,65.66398845958028,5,23.546414617772452,-31.092829235544905,4.670655643530708,0.0509777464900935
1.034744632381988,-0.3291090250619551,-0.014007270050818966,-0.058123024095215525,7.478500745498526e-4,0.9579491849806401,-10.6781497497799,62.64706777939772,6,26.038313436398116,-30.7432935394629,5.020191339612712,0.0428035629717481
1.7168573800629998,-0.8730157179514477,-0.009680485414675553,NA,0.006584816492676697,0.843011382920813,-9.396951246197272,21.47955434235305,5,15.499957183121886,-14.999914366243772,20.76357051283184,1.6324826357391e-05
1.7977247906020293,-1.0071127678058236,NA,NA,0.010499271683428808,0.7486723554538711,-8.345364921646075,19.362654352004594,4,11.735284026223393,-11.83420441608315,23.929280462992462,3.35292152708681e-06
1.5086924419061694,-0.7734205962649792,-0.01670531026671056,NA,NA,0.7278512623583921,-8.113274583751874,17.38399834710913,4,11.098553612206652,-10.560743588049668,25.202741291025944,1.77376011024378e-06
1.4463494657320664,-0.7438562268910067,NA,-0.03161609742366104,0.008275944736090125,0.7882568267688783,-8.786608485599894,14.890809743527951,5,13.106350837407069,-10.212701674814138,25.550783204261474,1.49045388262852e-06
0.6281828529427869,NA,NA,-0.05753502012017017,0.0064371516003356105,0.6965623099176383,-7.764500217726537,14.921201823134483,4,10.227933304114273,-8.81950297186491,26.943981907210702,7.42658726052197e-07
0.7621967543845736,NA,-0.018059798447324606,NA,NA,0.5915326080290335,-6.593746170930277,20.274461744537767,3,7.850046885058211,-7.700093770116421,28.06339110895919,4.24338726444033e-07
0.8553276879209362,NA,-0.012365388893840014,NA,0.005473639229740713,0.6726678002917151,-7.4981508580908045,13.35750257931464,4,9.621539131699038,-7.606714627034439,28.156770252041174,4.04981929614946e-07
0.375129094187607,NA,NA,-0.0842983835228964,NA,0.559397476766455,-6.235539546580384,17.774670506322053,3,7.244198294124094,-6.488396588248188,29.275088290827426,2.31523974213848e-07
0.7866630554161373,NA,NA,NA,0.010468552256035048,0.511892210677608,-5.706003791288624,14.682189275109263,3,6.425053493663642,-4.850106987327283,30.91337789174833,1.02057729433876e-07
0.7558230224063591,-0.3796604994213812,NA,-0.0749714857420211,NA,0.5861998185326838,-6.534302177742656,9.208064643546804,4,7.746277952637666,-3.8561922689116948,31.907292610163918,6.20897717227e-08
1.3785580606648407,-1.0007050659545076,NA,NA,NA,0.23378107943869286,-2.6059308928395857,4.2715404492283415,3,2.8176001755515934,2.3647996488968133,38.128284527972426,2.76789003551039e-09
0.375129094187607,NA,NA,NA,NA,0,-0,NA,2,0.6873013515809825,3.5484742199149584,39.31195909899057,1.53150057754564e-09
