term,estimate,std.error,statistic,p.value
(Intercept),0.2131965833036762,0.03940539688261105,5.410339703944368,1.2005934586481168e-6
std_distance,0.27130540513173856,0.0691435444926763,3.923799497442242,2.301994837662493e-4
