term,estimate,std.error,statistic,p.value
(Intercept),0.45497298879681486,0.04307739307567573,10.561757718196786,1.0128205492087713e-12
std_distance,-0.5331494672778991,0.24946186871046117,-2.137198242095673,0.039257487517788334
std_distance_squared,0.5895717258794323,0.26436303584472187,2.2301594623301546,0.03188645751573499
